Age,Gender,Item ID,Item Name,Price,SN
20,Male,93,Apocalyptic Battlescythe,4.49,Iloni35
21,Male,12,Dawne,3.36,Aidaira26
17,Male,5,Putrid Fan,2.63,Irim47
17,Male,123,Twilight's Carver,2.55,Irith83
22,Male,154,Feral Katana,4.11,Philodil43
8,Male,8,"Purgatory, Gem of Regret",2.22,Hainaria90
40,Male,148,"Warmonger, Gift of Suffering's End",4.65,Aerithllora36
28,Male,27,"Riddle, Tribute of Ended Dreams",3.38,Undirra90
18,Male,111,Misery's End,1.79,Eolideu96
36,Male,139,"Mercy, Katana of Dismay",4.25,Aesurstilis64
24,Male,126,Exiled Mithril Longsword,1.08,Jiskimsda56
36,Female,173,Stormfury Longsword,4.01,Jiskim75
20,Female,90,Betrayer,4.12,Lirtassa77
32,Male,23,Crucifer,1.62,Hairith93
8,Male,44,Bonecarvin Battle Axe,4.36,Yarith71
23,Male,94,Mourning Blade,3.64,Sondim43
24,Male,174,Primitive Blade,1.3599999999999999,Zhisrisu83
9,Male,156,Soul-Forged Steel Shortsword,4.53,Rarallo90
12,Other / Non-Disclosed,176,Relentless Iron Skewer,2.12,Inadeu25
23,Male,154,Feral Katana,4.11,Haerithp41
35,Male,10,Sleepwalker,1.81,Streural92
11,Male,131,Fury,2.99,Eoralphos86
16,Male,172,Blade of the Grave,2.71,Shaidanu32
20,Male,158,"Darkheart, Butcher of the Champion",1.94,Lassimla92
23,Male,70,Hope's End,4.28,Heosurnuru52
17,Male,71,Demise,3.09,Ilara98
7,Male,98,"Deadline, Voice Of Subtlety",1.29,Lirtistanya48
25,Male,117,"Heartstriker, Legacy of the Light",4.71,Sundaky74
20,Female,170,Shadowsteel,1.74,Sondassasya91
21,Male,90,Betrayer,4.12,Arithllorin55
32,Male,138,"Peacekeeper, Wit of Dark Magic",2.63,Hairith93
33,Male,129,"Fate, Vengeance of Eternal Justice",2.88,Ethralan59
24,Female,117,"Heartstriker, Legacy of the Light",4.71,Alarap40
16,Female,0,Splinter,1.8900000000000001,Pharithdil38
17,Male,180,Stormcaller,2.77,Chamjaskya75
20,Male,104,Gladiator's Glaive,1.8399999999999999,Ila44
21,Female,108,"Extraction, Quickblade Of Trembling Hands",2.26,Airithrin43
33,Male,17,"Lazarus, Terror of the Earth",1.96,Chanjasksda31
8,Male,9,"Thorn, Conqueror of the Corrupted",1.42,Aiduecal76
21,Male,155,War-Forged Gold Deflector,4.04,Heulaedru70
20,Male,18,"Torchlight, Bond of Storms",3.75,Eollym91
25,Male,127,"Heartseeker, Reaver of Souls",1.34,Lirtastan49
20,Male,64,Fusion Pummel,2.42,Undirrasta74
21,Male,16,Restored Bauble,2.15,Chrathybust28
25,Male,64,Fusion Pummel,2.42,Saralp86
23,Male,91,Celeste,2.92,Iskossaya95
24,Male,6,Rusty Skull,3.58,Lisosiast26
30,Male,60,Wolf,2.7,Eustyria89
25,Male,84,Arcane Gem,4.8100000000000005,Eusty71
20,Male,14,Possessed Core,2.8200000000000003,Frichilsa31
23,Male,176,Relentless Iron Skewer,2.12,Filon68
28,Male,1,Crucifer,3.67,Palyon91
23,Female,118,"Ghost Reaver, Longsword of Magic",2.95,Assistast50
16,Female,94,Mourning Blade,3.64,Seostylis96
25,Male,111,Misery's End,1.79,Iskadar31
20,Male,108,"Extraction, Quickblade Of Trembling Hands",2.26,Pheodaisun84
17,Male,79,"Alpha, Oath of Zeal",1.31,Yarmol79
23,Female,107,"Splitter, Foe Of Subtlety",4.15,Aeri79
30,Female,105,Hailstorm Shadowsteel Scythe,1.02,Undosian34
39,Female,2,Verdict,2.65,Aesririam61
23,Female,68,"Storm-Weaver, Slayer of Inception",4.39,Firon67
21,Male,31,Trickster,4.59,Jiskjask76
18,Male,25,Hero Cane,4.78,Chanirra64
11,Female,41,Orbit,3.85,Isristira52
24,Male,164,Exiled Doomblade,1.31,Chaniman66
23,Male,181,Reaper's Toll,4.12,Yarithrgue83
24,Male,4,Bloodlord's Fetish,1.9100000000000001,Airi27
22,Male,94,Mourning Blade,3.64,Undilsan50
21,Male,82,Nirvana,1.77,Aidaira26
34,Male,126,Exiled Mithril Longsword,1.08,Chamalo71
25,Male,98,"Deadline, Voice Of Subtlety",1.29,Undadar97
25,Male,60,Wolf,2.7,Sundaky74
21,Male,180,Stormcaller,2.77,Lisirra44
35,Male,93,Apocalyptic Battlescythe,4.49,Chamast86
38,Male,163,Thunderfury Scimitar,4.16,Ardcil81
15,Male,167,"Malice, Legacy of the Queen",3.25,Heudai45
24,Male,97,"Swan Song, Gouger Of Terror",1.92,Chaniman66
20,Male,134,Undead Crusader,2.15,Syalallodil59
